"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14173176";"1";"2025-06-23 07:30:00.000";"43";"1"
"14174158";"1";"2025-06-23 08:30:00.000";"39";"1"
"14248856";"1";"2025-06-22 22:15:00.000";"52";"1"
"14248939";"1";"2025-06-22 22:30:00.000";"93";"1"
"14249003";"1";"2025-06-23 07:30:00.000";"86";"1"
"14249189";"1";"2025-06-22 10:30:00.000";"93";"1"
"14250441";"1";"2025-06-23 08:00:00.000";"69";"1"
"14250470";"1";"2025-06-23 06:30:00.000";"57";"1"
"14250485";"1";"2025-06-23 09:00:00.000";"24";"3"
"14250490";"1";"2025-06-23 09:00:00.000";"55";"2"
"14250729";"2";"2025-06-22 11:15:00.000";"44";"1"
"14250889";"1";"2025-06-22 19:00:00.000";"34";"1"
"14251287";"1";"2025-06-23 09:00:00.000";"69";"3"
"14251378";"1";"2025-06-23 09:00:00.000";"19";"4"
"14251667";"1";"2025-06-23 08:15:00.000";"50";"1"
"14251756";"1";"2025-06-23 09:00:00.000";"38";"1"
"14251908";"1";"2025-06-22 22:15:00.000";"55";"1"
"14251968";"1";"2025-06-23 08:45:00.000";"57";"1"
"14252079";"1";"2025-06-23 03:00:00.000";"32";"1"
"14252175";"1";"2025-06-23 08:00:00.000";"24";"1"
"14290764";"1";"2025-06-23 08:15:00.000";"44";"1"
"14290764";"2";"2025-06-23 03:15:00.000";"41";"1"
"14290926";"1";"2025-06-23 09:00:00.000";"16";"6"
"14290961";"1";"2025-06-23 09:00:00.000";"11";"2"
"14291050";"1";"2025-06-23 08:30:00.000";"28";"1"
"14291173";"1";"2025-06-23 09:00:00.000";"25";"2"
"14291356";"1";"2025-06-23 09:00:00.000";"26";"2"
"14292307";"1";"2025-06-23 09:00:00.000";"37";"2"
"14292503";"1";"2025-06-23 08:00:00.000";"27";"1"
"14292503";"2";"2025-06-23 08:00:00.000";"25";"1"
"14293073";"1";"2025-06-23 07:30:00.000";"20";"1"
"14293311";"1";"2025-06-23 06:15:00.000";"33";"1"
"14293311";"2";"2025-06-23 09:00:00.000";"31";"1"
"14293732";"1";"2025-06-23 07:30:00.000";"22";"1"
"14293732";"2";"2025-06-23 08:15:00.000";"23";"1"
"14293829";"1";"2025-06-23 09:00:00.000";"18";"1"
"14294151";"1";"2025-06-23 09:00:00.000";"29";"2"
"14294384";"1";"2025-06-22 23:30:00.000";"15";"1"
"14295633";"1";"2025-06-23 09:00:00.000";"29";"1"
"14296060";"1";"2025-06-23 09:00:00.000";"23";"1"
"14296129";"1";"2025-06-23 00:30:00.000";"27";"1"
"14296206";"1";"2025-06-23 09:00:00.000";"18";"4"
"14296674";"1";"2025-06-23 09:00:00.000";"14";"6"
"14298307";"1";"2025-06-23 08:45:00.000";"46";"1"
"14298350";"1";"2025-06-23 08:45:00.000";"63";"1"
"14298631";"1";"2025-06-23 08:15:00.000";"40";"1"
"14298631";"2";"2025-06-23 09:00:00.000";"35";"2"
"14299546";"1";"2025-06-23 09:00:00.000";"35";"1"
"14299650";"1";"2025-06-23 09:00:00.000";"44";"2"
"14299694";"1";"2025-06-23 09:00:00.000";"59";"4"
"14299750";"1";"2025-06-23 09:00:00.000";"53";"4"
"14300100";"1";"2025-06-23 09:00:00.000";"30";"1"
"14300453";"1";"2025-06-23 01:45:00.000";"20";"1"
"14300516";"1";"2025-06-23 09:00:00.000";"20";"5"
"14300592";"1";"2025-06-23 09:00:00.000";"31";"1"
"14300991";"1";"2025-06-23 06:15:00.000";"27";"1"
"14301106";"1";"2025-06-23 08:15:00.000";"23";"1"
"14301222";"2";"2025-06-22 09:15:00.000";"21";"1"
"14301548";"1";"2025-06-23 07:45:00.000";"24";"1"
"14301626";"1";"2025-06-23 04:15:00.000";"36";"1"
"14301667";"2";"2025-06-23 08:00:00.000";"38";"1"
"14301746";"1";"2025-06-23 09:00:00.000";"24";"1"
"14301805";"1";"2025-06-23 06:45:00.000";"13";"1"
"14301857";"1";"2025-06-23 08:00:00.000";"23";"1"
"14302121";"1";"2025-06-23 09:00:00.000";"8";"1"
"14302366";"1";"2025-06-23 06:15:00.000";"21";"1"
"14302366";"2";"2025-06-23 09:00:00.000";"24";"1"
"14302441";"1";"2025-06-23 09:00:00.000";"17";"3"
"14302490";"1";"2025-06-23 08:45:00.000";"22";"1"
"14305482";"1";"2025-06-22 12:30:00.000";"23";"1"
"14312752";"1";"2025-06-22 17:15:00.000";"105";"1"
"14313197";"1";"2025-06-23 09:00:00.000";"73";"1"
"14313206";"1";"2025-06-23 08:30:00.000";"68";"1"
"14315859";"2";"2025-06-23 07:00:00.000";"30";"1"
"14316050";"2";"2025-06-23 09:00:00.000";"31";"1"
"14324217";"1";"2025-06-23 09:00:00.000";"93";"1"
"14324654";"1";"2025-06-23 08:30:00.000";"39";"1"
"14325207";"1";"2025-06-23 08:15:00.000";"53";"1"
"14325233";"1";"2025-06-22 22:00:00.000";"88";"1"
"14337884";"1";"2025-06-23 01:45:00.000";"53";"1"
"14337884";"2";"2025-06-22 21:30:00.000";"63";"1"
"14338038";"1";"2025-06-23 08:30:00.000";"29";"1"
"14338255";"1";"2025-06-23 08:45:00.000";"64";"1"
"14338944";"1";"2025-06-22 17:15:00.000";"46";"1"
"14339129";"1";"2025-06-23 07:15:00.000";"24";"1"
"14339139";"1";"2025-06-23 08:45:00.000";"45";"1"
"14339139";"2";"2025-06-23 08:30:00.000";"40";"1"
"14339147";"1";"2025-06-23 09:00:00.000";"68";"1"
"14339182";"1";"2025-06-23 09:00:00.000";"53";"1"
"14339401";"1";"2025-06-23 09:00:00.000";"55";"2"
"14339410";"1";"2025-06-23 09:00:00.000";"50";"3"
"14339433";"1";"2025-06-23 09:00:00.000";"56";"1"
"14339485";"1";"2025-06-23 09:00:00.000";"19";"4"
"14339502";"1";"2025-06-23 09:00:00.000";"31";"1"
"14339504";"1";"2025-06-23 09:00:00.000";"38";"2"
